,Stock Price,Payoff
0,104.816783931,10.0
1,80.970922494,0.970922494004
2,77.2502077928,0.0
3,84.3563471344,4.3563471344
4,78.4863766083,0.0
5,75.8823748286,0.0
6,83.2740234354,3.2740234354
7,81.2483953285,1.2483953285
8,74.6748076638,0.0
9,80.6946763864,0.694676386374
10,82.3545831124,2.35458311241
11,71.1187832287,0.0
12,85.4361112466,5.43611124661
13,77.4178264284,0.0
14,84.0498302428,4.0498302428
15,83.4092577108,3.40925771078
16,100.093492514,10.0
17,72.5672459946,0.0
18,81.070782367,1.07078236699
19,82.1972854888,2.19728548875
20,81.0121937904,1.01219379042
21,86.7675091212,6.76750912117
22,82.3049787686,2.3049787686
23,70.4224496614,0.0
24,89.6020729807,9.60207298066
25,81.647472345,1.64747234504
26,85.6133709261,5.61337092611
27,98.3775020208,10.0
28,87.5513637796,7.55136377958
29,84.7879694181,4.78796941805
30,89.7537525486,9.75375254864
31,98.4692605493,10.0
32,93.1916033488,10.0
33,73.3925308046,0.0
34,87.5161787781,7.51617877809
35,84.4560060858,4.45600608581
36,83.9332013418,3.93320134177
37,84.4384802373,4.43848023732
38,80.7945030388,0.794503038833
39,88.798878946,8.79887894599
40,75.9897103109,0.0
41,70.180248919,0.0
42,81.3391750281,1.33917502808
43,101.982764889,10.0
44,82.6701217929,2.67012179286
45,69.2980520915,0.0
46,70.7807604153,0.0
47,70.1699566801,0.0
48,94.6097060485,10.0
49,87.1723544655,7.17235446552
50,89.773564109,9.77356410897
51,84.9805600409,4.98056004091
52,86.131959736,6.13195973604
53,68.7555986525,0.0
54,94.4127115064,10.0
55,104.408412396,10.0
56,86.2434261694,6.24342616937
57,84.4519046475,4.45190464748
58,98.67478592,10.0
59,79.2301433412,0.0
60,77.9231472882,0.0
61,103.298039908,10.0
62,77.5028198328,0.0
63,84.1966320056,4.19663200556
64,96.4042385205,10.0
65,78.7415559554,0.0
66,81.8854100758,1.88541007584
67,81.1793439936,1.17934399356
68,86.6110718584,6.61107185842
69,94.1674519713,10.0
70,82.8396583337,2.83965833372
71,84.2547433169,4.25474331692
72,72.7426450517,0.0
73,76.409273126,0.0
74,105.051322394,10.0
75,73.9181406633,0.0
76,82.8683128914,2.86831289141
77,81.2578658661,1.25786586606
78,88.2556308471,8.25563084705
79,82.9063562142,2.9063562142
80,87.7795368958,7.77953689577
81,73.2557381637,0.0
82,80.5406012619,0.540601261926
83,95.6699641624,10.0
84,75.5144123467,0.0
85,75.1654346905,0.0
86,87.6044302685,7.60443026854
87,90.6063434209,10.0
88,90.1788822092,10.0
89,86.3308730612,6.33087306115
90,80.1313590547,0.13135905469
91,91.4125665584,10.0
92,73.1506731613,0.0
93,94.6119506712,10.0
94,87.1108597694,7.11085976944
95,78.5877780609,0.0
96,93.7268737032,10.0
97,87.3310581259,7.33105812587
98,90.8037423044,10.0
99,84.768818911,4.76881891096
100,96.8415595579,10.0
101,77.2578254339,0.0
102,96.1953924167,10.0
103,74.6534002477,0.0
104,71.9977886173,0.0
105,85.6551812824,5.65518128243
106,84.6394921079,4.63949210791
107,83.6610267272,3.66102672717
108,91.5548804185,10.0
109,78.5208495217,0.0
110,80.6966053704,0.696605370386
111,98.8352332927,10.0
112,87.8168895519,7.8168895519
113,76.401190687,0.0
114,86.1282668212,6.12826682122
115,88.8718659761,8.87186597614
116,104.945566414,10.0
117,82.5858943448,2.58589434478
118,81.0812759027,1.08127590275
119,90.8478353928,10.0
120,88.6651753998,8.66517539983
121,62.1708952284,0.0
122,87.3665658994,7.36656589937
123,78.0429702001,0.0
124,82.8945000685,2.89450006855
125,80.1844026444,0.184402644433
126,85.6476464335,5.64764643348
127,87.8817256867,7.88172568668
128,72.162642779,0.0
129,81.5394091474,1.53940914735
130,98.3204931479,10.0
131,85.368346478,5.36834647799
132,80.3533660377,0.353366037733
133,68.8782089985,0.0
134,79.3349133242,0.0
135,80.9658454457,0.965845445723
136,89.7565700487,9.75657004871
137,86.1916220228,6.19162202279
138,79.6057478577,0.0
139,68.2700706334,0.0
140,77.56749501,0.0
141,84.3081078171,4.3081078171
142,89.325773293,9.32577329304
143,102.408758249,10.0
144,90.5446233029,10.0
145,75.1375101466,0.0
146,86.6581239954,6.65812399538
147,93.7426849123,10.0
148,93.4276351827,10.0
149,98.4020849788,10.0
150,79.2285331816,0.0
151,82.7853314139,2.78533141387
152,84.4008746646,4.40087466456
153,82.381392846,2.38139284602
154,87.3877499291,7.38774992911
155,84.0579079887,4.05790798871
156,70.5414528448,0.0
157,86.1382468761,6.13824687613
158,78.4040791318,0.0
159,84.4530199185,4.45301991848
160,94.4556537321,10.0
161,75.8370784838,0.0
162,96.331367498,10.0
163,92.57251713,10.0
164,92.0896033282,10.0
165,81.3765427373,1.37654273735
166,97.0248575303,10.0
167,91.5390701482,10.0
168,76.0317260402,0.0
169,78.6643693832,0.0
170,92.9473653057,10.0
171,83.7160568183,3.71605681832
172,80.1167894756,0.11678947563
173,94.7173570444,10.0
174,97.8415421925,10.0
175,93.7033617446,10.0
176,81.0424978154,1.04249781544
177,61.618481682,0.0
178,75.7385955286,0.0
179,78.8745680087,0.0
180,84.2569367314,4.25693673143
181,81.172874464,1.172874464
182,83.2317346766,3.23173467663
183,102.018696763,10.0
184,98.9097870993,10.0
185,94.0710790291,10.0
186,83.4720936834,3.47209368339
187,102.216649235,10.0
188,89.1339617167,9.13396171671
189,96.3466341176,10.0
190,90.5015715816,10.0
191,88.2069474087,8.20694740869
192,89.1155676786,9.11556767861
193,62.5548216405,0.0
194,73.3426206387,0.0
195,88.7422100807,8.74221008075
196,76.0248458723,0.0
197,87.4527193745,7.45271937447
198,82.5697898427,2.56978984273
199,85.8726275241,5.87262752409
200,93.943334836,10.0
201,105.629630754,10.0
202,78.5619701384,0.0
203,97.78049505,10.0
204,73.9708776584,0.0
205,87.0146989805,7.01469898055
206,73.0648200559,0.0
207,71.130998417,0.0
208,103.136332066,10.0
209,85.3384286804,5.33842868044
210,85.0220092032,5.02200920316
211,68.9328963073,0.0
212,83.085870851,3.08587085103
213,88.5949105208,8.59491052082
214,76.7211521093,0.0
215,92.8773199753,10.0
216,87.5376929001,7.53769290014
217,76.5010961961,0.0
218,98.3806109995,10.0
219,77.6499903949,0.0
220,101.898073045,10.0
221,88.672809469,8.67280946904
222,75.2536107864,0.0
223,97.369073309,10.0
224,86.9794755878,6.97947558778
225,89.2950739061,9.2950739061
226,82.9127220006,2.91272200055
227,81.176545227,1.176545227
228,66.5401226048,0.0
229,83.1100164025,3.11001640246
230,91.5342034706,10.0
231,71.4600407038,0.0
232,84.9249695911,4.92496959111
233,94.6209039512,10.0
234,76.2553670727,0.0
